"go_id","pval","padj_within_ranking","log2err","ES","NES","size","leadingEdge","main_pathway","TERM","ONTOLOGY","ranking","direction","n_directional_pairs","pair_consistency","pair_median_effects","padj_global"
"GO:0005515",0.00101295902150949,0.0992699841079297,0.45505986738723,0.422072499316147,1.74025460064577,69,"HOG:0020549;HOG:0011775;HOG:0031129;HOG:0026838;HOG:0027351;HOG:0027706;HOG:0026360;HOG:0026019;HOG:0003621;HOG:0026507;HOG:0027639;HOG:0004116;HOG:0010549;HOG:0028717;HOG:0024905;HOG:0032765;HOG:0031127;HOG:0006332;HOG:0023138;HOG:0025149;HOG:0023048;HOG:0011715;HOG:0010551;HOG:0011541;HOG:0025316;HOG:0006131;HOG:0008605;HOG:0028145;HOG:0028661;HOG:0028718",FALSE,"protein binding","MF","recurrent_coverage","annual",2,0.5,"Brachypodium=0.2348;Hordeum=0.008197;Briza=-0.02083;Festuca/Vulpia=-0.09924",0.0302126038589351
"GO:0006082",0.0326829238851885,0.168575081092025,0.321775918075361,0.526327841713594,1.66093407896293,13,"HOG:0011497;HOG:0017319;HOG:0006505",FALSE,"organic acid metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.06645;Hordeum=0.1181;Briza=0.01191;Festuca/Vulpia=0.08306",0.254778247559537
"GO:0019752",0.0326829238851885,0.168575081092025,0.321775918075361,0.526327841713594,1.66093407896293,13,"HOG:0011497;HOG:0017319;HOG:0006505",FALSE,"carboxylic acid metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.06645;Hordeum=0.1181;Briza=0.01191;Festuca/Vulpia=0.08306",0.254778247559537
"GO:0043436",0.0326829238851885,0.168575081092025,0.321775918075361,0.526327841713594,1.66093407896293,13,"HOG:0011497;HOG:0017319;HOG:0006505",FALSE,"oxoacid metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.06645;Hordeum=0.1181;Briza=0.01191;Festuca/Vulpia=0.08306",0.254778247559537
"GO:0005515",0.00185900729631461,0.182182715038832,0.45505986738723,0.411487303932138,1.74431167866315,69,"HOG:0020549;HOG:0011775;HOG:0031129;HOG:0026838;HOG:0027706;HOG:0027351;HOG:0026360;HOG:0026019;HOG:0026507;HOG:0003621;HOG:0027639;HOG:0004116;HOG:0010549;HOG:0028717;HOG:0024905;HOG:0031127;HOG:0032765;HOG:0006332;HOG:0023138;HOG:0025149;HOG:0023048;HOG:0010551;HOG:0011715;HOG:0011541;HOG:0025316;HOG:0028145;HOG:0006131;HOG:0008605",FALSE,"protein binding","MF","anchor_module_mean_strength_ratio","annual",2,0.5,"Brachypodium=0.2453;Hordeum=0.008244;Briza=-0.02364;Festuca/Vulpia=-0.1116",0.0439751381128215
"GO:1901135",0.0426937225092835,0.185323741007194,0.321775918075361,0.536079214198345,1.59015753790568,12,"HOG:0030062;HOG:0006505;HOG:0028766;HOG:0004085",FALSE,"carbohydrate derivative metabolic process","BP","leaf_mean_activity","annual",3,0.75,"Brachypodium=-0.05441;Hordeum=0.1278;Briza=0.06131;Festuca/Vulpia=0.01707",0.30193704784916
"GO:0005737",0.0449651821380461,0.185323741007194,0.321775918075361,0.351479587890187,1.43524653825911,31,"HOG:0018459;HOG:0026451;HOG:0006139;HOG:0010703",FALSE,"cytoplasm","CC","leaf_mean_activity","annual",2,0.5,"Brachypodium=-0.2622;Hordeum=-0.06287;Briza=0.008107;Festuca/Vulpia=0.08341",0.30241289163431
"GO:0043226",0.0358606557377049,0.195241347905282,0.241339976815091,0.673973798518662,1.37354888615703,32,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0032903;HOG:0026902;HOG:0010929",FALSE,"organelle","CC","root_early_to_late","annual",2,0.5,"Brachypodium= 1.36;Hordeum=0.06218;Briza=-0.2652;Festuca/Vulpia=-0.01856",0.270334174022699
"GO:0043229",0.0358606557377049,0.195241347905282,0.241339976815091,0.673973798518662,1.37354888615703,32,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0032903;HOG:0026902;HOG:0010929",FALSE,"intracellular organelle","CC","root_early_to_late","annual",2,0.5,"Brachypodium= 1.36;Hordeum=0.06218;Briza=-0.2652;Festuca/Vulpia=-0.01856",0.270334174022699
"GO:0005524",0.0420081967213115,0.199401317636171,0.222056046145248,0.665674671077722,1.35663538406299,32,"HOG:0028145;HOG:0025149;HOG:0023048;HOG:0011775;HOG:0011541;HOG:0025848",FALSE,"ATP binding","MF","root_early_to_late","annual",2,0.5,"Brachypodium=0.6638;Hordeum=-0.02609;Briza=-0.0115;Festuca/Vulpia=0.04512",0.300183572404372
