"anchor_id","metric","anchor_hog","metric_type","statistic_orientation","concordant_mean","discordant_mean","signed_statistic","p_value","p_min","p_attainable","rank_from_top","n_tied_observed","n_tied_max","n_distinct_statistics","n_labellings","global_flip_multiplicity","blocked_label_space","blocked_p_min","blocked_p_attainable_at_best","blocked_p_below_0.05_attainable","q_bh","within_phylogenetic_pair_median"
"anchor_08","matched_edge_correlation","HOG:0006123","similarity","concordant_minus_discordant",0.291468721937551,0.297604360494492,-0.00613563855694144,0.742857142857143,0.0142857142857143,0.0285714285714286,52,2,2,35,70,2,16,0.0625,0.125,FALSE,0.903135888501742,0.284225550457461
"anchor_08","matched_edge_mean_abs_log_threshold_distance","HOG:0006123","distance","discordant_minus_concordant",0.0148869631811509,0.0147917968685396,-9.51663126112952e-05,0.542857142857143,0.0142857142857143,0.0285714285714286,38,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0152972160856956
"anchor_09","neighborhood_jaccard","HOG:0029484","similarity","concordant_minus_discordant",0.564903281510315,0.568877861275892,-0.00397457976557647,0.657142857142857,0.0142857142857143,0.0285714285714286,46,2,2,35,70,2,16,0.0625,0.125,FALSE,0.901224489795918,0.574524312896406
"anchor_09","module_edge_jaccard","HOG:0029484","similarity","concordant_minus_discordant",0.739339784432194,0.731414946381519,0.0079248380506749,0.171428571428571,0.0142857142857143,0.0285714285714286,12,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.739458403059447
"anchor_09","matched_edge_correlation","HOG:0029484","similarity","concordant_minus_discordant",0.311046823625284,0.320975620002772,-0.00992879637748817,0.742857142857143,0.0142857142857143,0.0285714285714286,52,2,2,35,70,2,16,0.0625,0.125,FALSE,0.903135888501742,0.28690578556427
"anchor_09","matched_edge_mean_abs_log_threshold_distance","HOG:0029484","distance","discordant_minus_concordant",0.0148274638078639,0.0146955025186585,-0.00013196128920537,0.485714285714286,0.0142857142857143,0.0285714285714286,34,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0150656974887788
"anchor_10","neighborhood_jaccard","HOG:0023085","similarity","concordant_minus_discordant",0.588934792227718,0.592431779899912,-0.0034969876721942,0.6,0.0142857142857143,0.0285714285714286,42,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.608074515559016
"anchor_10","module_edge_jaccard","HOG:0023085","similarity","concordant_minus_discordant",0.762638590671385,0.759213433325251,0.00342515734613369,0.257142857142857,0.0142857142857143,0.0285714285714286,18,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.761820115913772
"anchor_10","matched_edge_correlation","HOG:0023085","similarity","concordant_minus_discordant",0.289371206412005,0.292621828310807,-0.00325062189880204,0.6,0.0142857142857143,0.0285714285714286,42,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.276707441995734
"anchor_10","matched_edge_mean_abs_log_threshold_distance","HOG:0023085","distance","discordant_minus_concordant",0.0148332001226029,0.0148025045040481,-3.06956185547932e-05,0.485714285714286,0.0142857142857143,0.0285714285714286,34,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0153407108497752
"anchor_11","neighborhood_jaccard","HOG:0026770","similarity","concordant_minus_discordant",0.579778614634588,0.581674142550469,-0.00189552791588088,0.542857142857143,0.0142857142857143,0.0285714285714286,38,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.585161197466897
"anchor_11","module_edge_jaccard","HOG:0026770","similarity","concordant_minus_discordant",0.757194289675465,0.757767904411664,-0.00057361473619888,0.6,0.0142857142857143,0.0285714285714286,42,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.761517214118357
"anchor_11","matched_edge_correlation","HOG:0026770","similarity","concordant_minus_discordant",0.294670347616028,0.303387328910932,-0.00871698129490367,0.8,0.0142857142857143,0.0285714285714286,56,2,2,35,70,2,16,0.0625,0.125,FALSE,0.914285714285714,0.287027389520275
"anchor_11","matched_edge_mean_abs_log_threshold_distance","HOG:0026770","distance","discordant_minus_concordant",0.0148280394544868,0.0147231030512832,-0.000104936403203637,0.542857142857143,0.0142857142857143,0.0285714285714286,38,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0151211329520614
"anchor_12","neighborhood_jaccard","HOG:0012056","similarity","concordant_minus_discordant",0.56277759646695,0.571319233528775,-0.00854163706182409,0.714285714285714,0.0142857142857143,0.0285714285714286,50,2,2,35,70,2,16,0.0625,0.125,FALSE,0.903135888501742,0.580378384502096
"anchor_12","module_edge_jaccard","HOG:0012056","similarity","concordant_minus_discordant",0.779754355497231,0.776907556994816,0.0028467985024152,0.342857142857143,0.0142857142857143,0.0285714285714286,24,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.782516599577432
"anchor_12","matched_edge_correlation","HOG:0012056","similarity","concordant_minus_discordant",0.296695572098453,0.308684602857587,-0.0119890307591344,0.885714285714286,0.0142857142857143,0.0285714285714286,62,2,2,35,70,2,16,0.0625,0.125,FALSE,0.914285714285714,0.298589926017407
"anchor_12","matched_edge_mean_abs_log_threshold_distance","HOG:0012056","distance","discordant_minus_concordant",0.0147464236258056,0.0145880733191155,-0.000158350306690003,0.571428571428571,0.0142857142857143,0.0285714285714286,40,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0152075279382609
