"anchor_id","anchor_hog","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_03","HOG:0011532","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.785265049415993,0.766468409830547,0.0187966395854463
"anchor_03","HOG:0011532","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.777040966696139,0.805813605034462,-0.028772638338323
"anchor_03","HOG:0011532","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_03","HOG:0011532","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_03","HOG:0011532","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_03","HOG:0011532","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_04","HOG:0019394","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.865384615384615,0.685897435897436,0.17948717948718
"anchor_04","HOG:0019394","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.83974358974359,0.935897435897436,-0.0961538461538461
"anchor_04","HOG:0019394","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.846153846153846,0.871794871794872,-0.0256410256410257
"anchor_04","HOG:0019394","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.724358974358974,0.92948717948718,-0.205128205128205
"anchor_04","HOG:0019394","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.895429134059304,0.704016604994964,0.19141252906434
"anchor_04","HOG:0019394","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.863162245401526,0.966272727444777,-0.103110482043251
"anchor_04","HOG:0019394","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.87376224170265,0.902789029128572,-0.029026787425922
"anchor_04","HOG:0019394","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.742298901825219,0.962638574923382,-0.220339673098163
"anchor_04","HOG:0019394","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.769928137092316,0.690354434843943,0.0795737022483733
"anchor_04","HOG:0019394","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.697240164415737,0.793008974964572,-0.0957688105488356
"anchor_04","HOG:0019394","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.724612537589637,0.781372549019608,-0.056760011429971
"anchor_04","HOG:0019394","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.780183312262958,0.816570881226054,-0.0363875689630954
"anchor_04","HOG:0019394","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_04","HOG:0019394","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_04","HOG:0019394","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_04","HOG:0019394","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_05","HOG:0006205","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.763888888888889,0.722222222222222,0.0416666666666666
"anchor_05","HOG:0006205","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.805555555555556,0.944444444444444,-0.138888888888889
"anchor_05","HOG:0006205","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.805555555555556,0.881944444444444,-0.0763888888888888
"anchor_05","HOG:0006205","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.881944444444444,0.923611111111111,-0.0416666666666667
"anchor_05","HOG:0006205","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.785143783559727,0.740453470421945,0.0446903131377826
"anchor_05","HOG:0006205","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.827924452784449,0.974929606789314,-0.147005154004865
"anchor_05","HOG:0006205","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.828321250934975,0.908949118565864,-0.0806278676308891
"anchor_05","HOG:0006205","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.904944782063902,0.959146465314064,-0.0542016832501618
"anchor_05","HOG:0006205","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.845037531276063,0.654592979835698,0.190444551440365
"anchor_05","HOG:0006205","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.719790104947526,0.842156862745098,-0.122366757797572
"anchor_05","HOG:0006205","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.75832083958021,0.779902512185977,-0.0215816726057668
"anchor_05","HOG:0006205","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.721409823772028,0.847117794486215,-0.125707970714187
"anchor_05","HOG:0006205","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_05","HOG:0006205","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_05","HOG:0006205","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_05","HOG:0006205","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_06","HOG:0028766","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.852348993288591,0.711409395973154,0.140939597315436
"anchor_06","HOG:0028766","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.805369127516778,0.912751677852349,-0.107382550335571
"anchor_06","HOG:0028766","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.865771812080537,0.885906040268456,-0.0201342281879195
"anchor_06","HOG:0028766","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.785234899328859,0.946308724832215,-0.161073825503356
"anchor_06","HOG:0028766","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.880098873576327,0.729500225201412,0.150598648374916
"anchor_06","HOG:0028766","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.829080126185592,0.942430496998264,-0.113350370812671
"anchor_06","HOG:0028766","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.892664765271321,0.917420955139799,-0.024756189868478
"anchor_06","HOG:0028766","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.808484262605615,0.98185743655548,-0.173373173949865
"anchor_06","HOG:0028766","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.803524559430071,0.662353998203055,0.141170561227016
"anchor_06","HOG:0028766","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.748459383753501,0.837581699346405,-0.0891223155929038
"anchor_06","HOG:0028766","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.71390503875969,0.802105019662272,-0.0881999809025816
"anchor_06","HOG:0028766","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.760389036251105,0.809929078014184,-0.0495400417630791
"anchor_06","HOG:0028766","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_06","HOG:0028766","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_06","HOG:0028766","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_06","HOG:0028766","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_07","HOG:0011862","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.913907284768212,0.642384105960265,0.271523178807947
"anchor_07","HOG:0011862","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.781456953642384,0.933774834437086,-0.152317880794702
"anchor_07","HOG:0011862","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.774834437086093,0.801324503311258,-0.0264900662251656
"anchor_07","HOG:0011862","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.841059602649007,0.947019867549669,-0.105960264900662
"anchor_07","HOG:0011862","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.947309715403813,0.659323593745355,0.287986121658458
"anchor_07","HOG:0011862","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.807501287692338,0.966276298061206,-0.158775010368868
"anchor_07","HOG:0011862","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.796266545815029,0.828948649667022,-0.0326821038519928
"anchor_07","HOG:0011862","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.865815215505752,0.984854846615675,-0.119039631109922
"anchor_07","HOG:0011862","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.753517401883,0.721005154639175,0.0325122472438248
"anchor_07","HOG:0011862","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.776329132261336,0.82016210739615,-0.0438329751348143
"anchor_07","HOG:0011862","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.772472737989979,0.819559228650138,-0.0470864906601584
"anchor_07","HOG:0011862","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.709161354830646,0.797793755540234,-0.0886324007095883
"anchor_07","HOG:0011862","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_07","HOG:0011862","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_07","HOG:0011862","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_07","HOG:0011862","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_08","HOG:0006123","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.885906040268456,0.604026845637584,0.281879194630873
"anchor_08","HOG:0006123","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.791946308724832,0.953020134228188,-0.161073825503356
"anchor_08","HOG:0006123","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.852348993288591,0.879194630872483,-0.0268456375838926
"anchor_08","HOG:0006123","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.845637583892617,0.939597315436242,-0.0939597315436241
"anchor_08","HOG:0006123","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.917622073194949,0.62134246147062,0.296279611724329
"anchor_08","HOG:0006123","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.818025011066468,0.987355979947151,-0.169330968880683
"anchor_08","HOG:0006123","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.879612959834488,0.91089340862366,-0.0312804487891711
"anchor_08","HOG:0006123","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.870613240406979,0.977345404691964,-0.106732164284985
"anchor_08","HOG:0006123","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.776659727041406,0.769038701622971,0.00762102541843512
"anchor_08","HOG:0006123","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.777488048674489,0.81740085905504,-0.0399128103805501
"anchor_08","HOG:0006123","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.725284339457568,0.778860833822666,-0.0535764943650981
"anchor_08","HOG:0006123","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.731555555555556,0.827440904419322,-0.0958853488637662
"anchor_08","HOG:0006123","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_08","HOG:0006123","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_08","HOG:0006123","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_08","HOG:0006123","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_09","HOG:0029484","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.857142857142857,0.721428571428571,0.135714285714286
"anchor_09","HOG:0029484","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.871428571428571,0.914285714285714,-0.0428571428571428
"anchor_09","HOG:0029484","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.878571428571429,0.742857142857143,0.135714285714286
"anchor_09","HOG:0029484","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.778571428571429,0.942857142857143,-0.164285714285714
"anchor_09","HOG:0029484","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.883323434913178,0.740571294776448,0.14275214013673
"anchor_09","HOG:0029484","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.897670238243679,0.944426519967743,-0.0467562817240642
