"anchor_id","anchor_hog","tissue","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_09","HOG:0029484","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.225925759957298,-0.173893193806326,-0.0520325661509723
"anchor_09","HOG:0029484","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.318742665926709,-0.30602119991842,-0.0127214660082894
"anchor_09","HOG:0029484","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.647071870018277,-0.673623386593488,0.0265515165752112
"anchor_09","HOG:0029484","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.628339336197254,-0.68287932228263,0.0545399860853758
"anchor_09","HOG:0029484","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.633718428851943,-0.621385495517493,-0.01233293333445
"anchor_09","HOG:0029484","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.599840797433863,-0.632507696765629,0.0326668993317665
"anchor_09","HOG:0029484","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.0110258434162144,-0.102182524609667,0.113208368025882
"anchor_09","HOG:0029484","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.00222655418809836,0.0261130011630389,-0.0283395553511373
"anchor_09","HOG:0029484","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.0600513590576041,-0.0613573238187122,0.121408682876316
"anchor_09","HOG:0029484","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.027696505153445,-0.00651725269747228,-0.0211792524559727
"anchor_10","HOG:0023085","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.708345385142729,0.7166635514669,-0.0083181663241706
"anchor_10","HOG:0023085","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.796864730657373,0.683414278848137,0.113450451809236
"anchor_10","HOG:0023085","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.764388312673816,0.733764171230286,0.0306241414435304
"anchor_10","HOG:0023085","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.777236480797507,0.783078017717989,-0.0058415369204825
"anchor_10","HOG:0023085","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.11235642446976,-0.253259630726722,0.140903206256963
"anchor_10","HOG:0023085","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.482207721660852,-0.0982310497288451,-0.383976671932006
"anchor_10","HOG:0023085","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.157098535429172,-0.115142404474476,-0.0419561309546963
"anchor_10","HOG:0023085","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.241613870214088,-0.23591608871054,-0.00569778150354738
"anchor_10","HOG:0023085","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.6655743256269,-0.702226544538314,0.0366522189114141
"anchor_10","HOG:0023085","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.645483142239661,-0.707381903313118,0.0618987610734568
"anchor_10","HOG:0023085","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.648800571699255,-0.636046913219671,-0.0127536584795844
"anchor_10","HOG:0023085","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.657231413440278,-0.636628554291066,-0.0206028591492113
"anchor_10","HOG:0023085","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.0372341750413505,-0.0521525050027378,0.0893866800440883
"anchor_10","HOG:0023085","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",0.0117115704390562,0.0815710148952011,-0.0698594444561449
"anchor_10","HOG:0023085","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.102196757032693,-0.01444002252046,0.116636779553153
"anchor_10","HOG:0023085","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.0520125085177443,-0.000594003117010744,0.052606511634755
"anchor_11","HOG:0026770","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.712459253102014,0.708397313169546,0.00406193993246851
"anchor_11","HOG:0026770","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.808548044774903,0.690415391818794,0.118132652956109
"anchor_11","HOG:0026770","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.767361172779865,0.73844846434217,0.0289127084376954
"anchor_11","HOG:0026770","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.82821143744503,0.787609972423924,0.0406014650211063
"anchor_11","HOG:0026770","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.123890822726876,-0.250751261130292,0.126860438403417
"anchor_11","HOG:0026770","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.527831917925813,-0.120997289006454,-0.406834628919359
"anchor_11","HOG:0026770","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.184304859527527,-0.131733898564941,-0.0525709609625864
