"anchor_id","anchor_hog","species1","species2","neighborhood_jaccard","n_matched_module_edges","n_informative_module_edges","n_shared_present_edges","module_edge_jaccard","matched_edge_correlation","matched_edge_mean_abs_log_threshold_distance","enough_edges_for_correlation"
"anchor_05","HOG:0006205","BSYL","FPRA",0.480392156862745,4560,4297,2762,0.642774028391901,0.227414400305288,0.0170598226210515,TRUE
"anchor_05","HOG:0006205","HVUL","HJUB",0.576530612244898,6216,5851,4056,0.693214835070928,0.261951026027114,0.0149337831787956,TRUE
"anchor_05","HOG:0006205","HVUL","BMAX",0.602409638554217,4656,4240,2981,0.703066037735849,0.297414684755383,0.0143280873288754,TRUE
"anchor_05","HOG:0006205","HVUL","BMED",0.626436781609195,5151,4822,3304,0.685192866030693,0.325058411508201,0.0149454038277707,TRUE
"anchor_05","HOG:0006205","HVUL","VBRO",0.627218934911243,5460,4981,3249,0.652278658903835,0.295315758724203,0.0140557232025802,TRUE
"anchor_05","HOG:0006205","HVUL","FPRA",0.598958333333333,5995,5698,3967,0.696209196209196,0.2875052369533,0.0157031004752793,TRUE
"anchor_05","HOG:0006205","HJUB","BMAX",0.578680203045685,6105,5775,4352,0.753593073593074,0.347574157583724,0.0137992568827985,TRUE
"anchor_05","HOG:0006205","HJUB","BMED",0.6318407960199,7381,6972,5300,0.760183591508893,0.329785619176469,0.0142329570077156,TRUE
"anchor_05","HOG:0006205","HJUB","VBRO",0.649484536082474,7503,6956,5030,0.723116733755032,0.317841038571285,0.0141339674804502,TRUE
"anchor_05","HOG:0006205","HJUB","FPRA",0.62962962962963,7750,7450,6007,0.806308724832215,0.326029422641082,0.0145563862903817,TRUE
"anchor_05","HOG:0006205","BMAX","BMED",0.574585635359116,5253,4859,3652,0.751594978390615,0.368471431855647,0.0140245787216413,TRUE
"anchor_05","HOG:0006205","BMAX","VBRO",0.629411764705882,5671,5101,3653,0.716134091354636,0.33254296317273,0.0136397410729031,TRUE
"anchor_05","HOG:0006205","BMAX","FPRA",0.592783505154639,5886,5529,4163,0.752939048652559,0.346599508562947,0.0150665275007069,TRUE
"anchor_05","HOG:0006205","BMED","VBRO",0.642458100558659,6441,5832,4151,0.71176268861454,0.354944137177813,0.0143778335650763,TRUE
"anchor_05","HOG:0006205","BMED","FPRA",0.663265306122449,7021,6514,5062,0.777095486644151,0.427436440260473,0.0137328751644464,TRUE
"anchor_05","HOG:0006205","VBRO","FPRA",0.647668393782383,7021,6551,4775,0.72889635170203,0.354067929905803,0.0156833382176575,TRUE
"anchor_06","HOG:0028766","BDIS","BSYL",0.598837209302326,4753,4477,2909,0.649765467947286,0.212935741340716,0.0160449946730077,TRUE
"anchor_06","HOG:0028766","BDIS","HVUL",0.641176470588235,5565,5187,3799,0.732407942934259,0.257840746468464,0.0152756319758219,TRUE
"anchor_06","HOG:0028766","BDIS","HJUB",0.578947368421053,6670,6351,5155,0.811683199496142,0.350226564635209,0.0140242448393891,TRUE
"anchor_06","HOG:0028766","BDIS","BMAX",0.687861271676301,6786,6190,4556,0.736025848142165,0.349647691424061,0.0141220892836795,TRUE
"anchor_06","HOG:0028766","BDIS","BMED",0.596858638743455,6328,5927,4645,0.783701704066138,0.359959798271452,0.0145023547557718,TRUE
"anchor_06","HOG:0028766","BDIS","VBRO",0.589595375722543,4950,4628,3629,0.784140017286085,0.318802453269599,0.0146624961072243,TRUE
"anchor_06","HOG:0028766","BDIS","FPRA",0.623115577889447,7381,6908,5381,0.778951939779965,0.366086683081098,0.0147005886569422,TRUE
"anchor_06","HOG:0028766","BSYL","HVUL",0.517647058823529,3655,3405,2219,0.651688693098385,0.261857134992872,0.0144080066942829,TRUE
"anchor_06","HOG:0028766","BSYL","HJUB",0.545,5151,4873,3160,0.648471167658527,0.185188566901694,0.0156831681732251,TRUE
"anchor_06","HOG:0028766","BSYL","BMAX",0.548571428571429,4560,4105,2472,0.602192448233861,0.189663037199391,0.0152942869264137,TRUE
"anchor_06","HOG:0028766","BSYL","BMED",0.526881720430108,4656,4354,2803,0.6437758383096,0.24794461609295,0.0164401931254975,TRUE
"anchor_06","HOG:0028766","BSYL","VBRO",0.539393939393939,3828,3527,2299,0.651828749645591,0.273063571624498,0.0134015165728223,TRUE
"anchor_06","HOG:0028766","BSYL","FPRA",0.51,4950,4688,2992,0.638225255972696,0.205711381032104,0.017561009400031,TRUE
"anchor_06","HOG:0028766","HVUL","HJUB",0.580808080808081,6105,5778,4243,0.734337140879197,0.266402847941643,0.0149119351128417,TRUE
"anchor_06","HOG:0028766","HVUL","BMAX",0.697530864197531,6216,5561,3783,0.680273332134508,0.286380288364108,0.0144816460270815,TRUE
"anchor_06","HOG:0028766","HVUL","BMED",0.627118644067797,5778,5455,3875,0.710357470210816,0.299513234422455,0.0149493845162915,TRUE
"anchor_06","HOG:0028766","HVUL","VBRO",0.60248447204969,4656,4357,3197,0.733761762680744,0.311590744375576,0.0136104745813017,TRUE
"anchor_06","HOG:0028766","HVUL","FPRA",0.610526315789474,6670,6396,4454,0.696372732958099,0.265852910720362,0.0159390230330736,TRUE
