"anchor_id","anchor_hog","species","tissue","n_time_points","mean_activity","early_to_late","early_day","late_day"
"anchor_06","HOG:0028766","HVUL","root",5,-0.637357816059339,0.0156820013440401,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","VBRO","leaf",5,0.833925306635881,-0.292357798421076,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","VBRO","root",5,-0.618342223982406,0.00313450401832716,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","BDIS","leaf",5,0.715139268529244,-0.137662049944691,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","BDIS","root",5,-0.669375814508159,0.0504646854777907,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","BMAX","leaf",5,0.77813354158231,-0.190788712082886,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","BMAX","root",5,-0.640829598353945,0.115833606863444,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","BMED","leaf",5,0.737538525572503,-0.146404633795581,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","BMED","root",5,-0.638342779046157,-0.0538537150560843,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","BSYL","leaf",5,0.739508026136441,-0.302903168764538,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","BSYL","root",5,-0.688040538093277,-0.0212828312946323,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","FPRA","leaf",5,0.791757052729257,-0.273478231786191,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","FPRA","root",5,-0.633212006427073,0.00634194315754777,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","HJUB","leaf",5,0.698687851752547,-0.148201069700002,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","HJUB","root",5,-0.698161160400939,0.0624207513948247,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","HVUL","leaf",5,0.822826318009097,-0.562380127762846,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","HVUL","root",5,-0.630761418330384,0.0176292757793297,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","VBRO","leaf",5,0.830635172899305,-0.277345820752642,7.47957433613505,56.4998699010652
"anchor_07","HOG:0011862","VBRO","root",5,-0.626753241223157,0.0152055545211393,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","BDIS","leaf",5,0.70650459453289,-0.114589799442937,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","BDIS","root",5,-0.674723781578945,0.0502483586387822,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","BMAX","leaf",5,0.75383259434115,-0.158797855342797,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","BMAX","root",5,-0.653550234205717,0.0880704501324598,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","BMED","leaf",5,0.7382055793641,-0.141631170302027,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","BMED","root",5,-0.635745798045942,-0.0377052102364164,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","BSYL","leaf",5,0.713249542265168,-0.258099729875814,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","BSYL","root",5,-0.696034691825739,-0.00556110529405196,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","FPRA","leaf",5,0.777986454754601,-0.246029941083888,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","FPRA","root",5,-0.646335719473722,-0.00133295184904791,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","HJUB","leaf",5,0.687074750713928,-0.111497376360369,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","HJUB","root",5,-0.709792480673095,0.0657627716703687,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","HVUL","leaf",5,0.799967680717919,-0.509959330858344,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","HVUL","root",5,-0.64619201928455,0.0165180007793412,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","VBRO","leaf",5,0.777906157950816,-0.24438265163454,7.47957433613505,56.4998699010652
"anchor_08","HOG:0006123","VBRO","root",5,-0.652622927020672,0.0407736696173342,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","BDIS","leaf",5,0.736303732012259,-0.168083306755457,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","BDIS","root",5,-0.647071870018277,0.0110258434162144,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","BMAX","leaf",5,0.802776771400115,-0.225925759957298,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","BMAX","root",5,-0.633718428851943,0.0600513590576041,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","BMED","leaf",5,0.754825900597632,-0.173893193806326,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","BMED","root",5,-0.621385495517493,-0.0613573238187122,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","BSYL","leaf",5,0.769766428180406,-0.351817548348754,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","BSYL","root",5,-0.673623386593488,-0.102182524609667,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","FPRA","leaf",5,0.784379542714745,-0.30602119991842,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","FPRA","root",5,-0.632507696765629,-0.00651725269747228,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","HJUB","leaf",5,0.706988961284878,-0.190963348953357,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","HJUB","root",5,-0.68287932228263,0.0261130011630389,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","HVUL","leaf",5,0.842014240788956,-0.599101865317828,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","HVUL","root",5,-0.628339336197254,-0.00222655418809836,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","VBRO","leaf",5,0.871531780596817,-0.318742665926709,7.47957433613505,56.4998699010652
"anchor_09","HOG:0029484","VBRO","root",5,-0.599840797433863,-0.027696505153445,7.47957433613505,56.4998699010652
